# primary_key> primární klíč
# disposition> aktuální stav
# agent_id> ID konkrétního operátora (zvedače)
# delay> délka čekání na hovor
# time_block> časový blok
# handling_time> čas zpracování hovoru
# originator> hash volajícího čísla
# international> zda jde o mezinárodní volání
# time_segment_id> id časového bloku
# operator> telefonní operátor (O2, T-mobile...)
# service_id> id služby, na které zákazník volal
# wup_question_id> z ope_wup_logs
# wup_answer_id> z ope_wup_logs
# cancelled

"primary_key","disposition","agent_id","delay","time_block","handling_time","originator","international","time_segment_id","operator","service_id","wup_question_id","wup_answer_id","cancelled"
"10000018368837629955","released","83153","38","2014-09-17 11:15:00","163","8a7a756460cc091aa1f70d096c241ac4","0","NULL","3","10","NULL","NULL","0"
"10000024852365755933","released on hold","80260","6","2014-08-13 08:45:00","45","162c2978bbfba584ddf38ac59549df23","0","NULL","2","6","NULL","NULL","0"
"10000028973964073958","released on hold","80061","3","2014-05-27 07:15:00","69","24a00ef80f882f80fa97598e0ed5db26","0","NULL","-1","6","NULL","NULL","0"
"10000047329233043948","released","80082","10","2014-09-24 12:45:00","29","ddb3c2633897e3060bccdb696f14c7a7","0","NULL","-1","7","NULL","NULL","0"
"10000054683417516438","released","80661","11","2014-06-09 16:30:00","78","dae2404c0598818c66a5d058a1c02f84","0","NULL","-1","6","NULL","NULL","0"
"10000055585213867489","released","80431","5","2014-08-23 13:45:00","176","83563ddf1a708349cdc6e80017ebbbff","0","NULL","3","6","NULL","NULL","0"
"10000059206213766179","released","80511","3","2014-08-11 22:00:00","129","bf65ff136c0a063f75055df91dc303b7","0","NULL","3","6","NULL","NULL","0"
"10000067600581606636","released","80236","23","2014-07-22 09:00:00","20","0bd734f2753672534a667c4c940a027a","0","NULL","1","6","NULL","NULL","0"
"10000071299810434720","released","80115","4","2014-10-02 15:45:00","57","f6b2b263442b400e438bf1097235960f","0","NULL","-1","7","NULL","NULL","0"
"10000077745266421813","released","80672","5","2014-07-09 14:45:00","259","fbfa498635a32a98e7fe1b4543fd612e","0","NULL","2","6","NULL","NULL","0"
"10000084444211956692","released on hold","80134","26","2014-08-09 12:45:00","55","690a5a0b9a3ace9ee81c509144599c71","0","NULL","3","6","NULL","NULL","0"
"10000085201914183984","released","80653","4","2014-07-23 08:45:00","92","63e79031448ab379861a3471fbcea031","0","NULL","-1","6","NULL","NULL","0"
"10000086047005958353","released","80068","2","2014-07-23 14:30:00","364","99c031c44bbdc63596938e293d985ca6","0","NULL","-1","10","NULL","NULL","0"
"1000009777546055995","released","80472","5","2014-09-27 11:30:00","130","3a53cbf699c5aefb2254cd7551992ec2","0","NULL","-1","8","NULL","NULL","0"
"10000102830822753940","released","80498","4","2014-08-21 07:15:00","51","e7423610944289df19c0475e0ccf0f64","0","NULL","1","6","NULL","NULL","0"
"10000109466801750649","released","80506","10","2014-05-07 09:15:00","113","c41cf10129f4772c853b3771b9299644","0","NULL","2","6","NULL","NULL","0"
"10000132780115796620","released","80134","4","2014-05-31 16:15:00","64","af47636a6dffd1800a419f69cfb6e939","0","NULL","2","6","NULL","NULL","0"
"10000132898949891921","released","80042","5","2014-06-04 17:45:00","136","b97bd84ce00f919cf87da647069c1a37","0","NULL","2","6","NULL","NULL","0"
"10000140291223330666","released","80104","6","2014-06-30 17:00:00","12","772fdf8b693b1dd75ea7e9a7e34c5b56","0","NULL","1","6","NULL","NULL","0"
"10000141911204788339","released","80107","6","2014-07-02 16:45:00","73","0ee8fff939d35a22ed9f73739ad57c71","0","NULL","1","6","NULL","NULL","0"
"10000142234139906172","released","80224","14","2014-07-31 16:45:00","183","cd17beb9ea704f45d68c302fa106c707","0","NULL","2","7","NULL","NULL","0"
"10000150640815764807","transferred","80332","6","2014-07-22 10:15:00","56","f40137bc0364bb492d5841e19b1e2ca9","0","NULL","1","6","NULL","NULL","0"
"10000160120190389742","released","81035","7","2014-09-24 15:45:00","113","a6a672d777675c8f3af241edc850a1f4","0","NULL","-1","6","NULL","NULL","0"
"10000169391575649131","released","80715","9","2014-09-28 14:45:00","85","7a05fa102627f1897c69b6d0def6776b","0","NULL","-1","7","NULL","NULL","0"
"10000174604600741638","released","80262","4","2014-10-01 16:45:00","62","1cccced6a1cf4f2ac15dd4b229523168","0","NULL","-1","6","NULL","NULL","0"
"10000179129056103854","released","80641","3","2014-05-31 14:30:00","112","36c49a0cd47d717e24ee9997d544860e","0","NULL","2","6","NULL","NULL","0"
"10000188059190695112","released","80434","5","2014-09-17 13:45:00","21","8c858536f3d645ac9bb6463d3ec48a5a","0","NULL","-1","6","NULL","NULL","0"
"10000195772824535969","released","80061","4","2014-07-31 01:30:00","192","be86fdac340f7e3c13b7e50be0819a9e","0","NULL","2","6","NULL","NULL","0"
"1000020298066975731","released on hold","80291","6","2014-06-04 09:30:00","58","2f4f79c865cf92db7a0a48ac31c4d5c5","0","NULL","2","6","NULL","NULL","0"
"10000226267770027595","released on hold","80553","3","2014-05-28 10:45:00","54","b952b8fbdef8a80407cdb1b3244999ee","0","NULL","2","6","NULL","NULL","0"
"10000228553911499227","released on hold","80277","49","2014-05-17 16:15:00","86","9ce18cb4f3befb85ee679147fee4b956","0","NULL","-1","6","NULL","NULL","0"
"10000235372616453571","released on hold","80104","6","2014-06-30 20:00:00","29","20d1479c8005fa790e1f2177500432d4","0","NULL","1","6","NULL","NULL","0"
"10000237714873891682","released","80017","8","2014-08-20 16:45:00","455","daf0445b20594238135652c68ae9ec24","0","NULL","-1","11","NULL","NULL","0"
"10000244475133602626","released","80661","3","2014-06-02 12:30:00","61","3be2f1e4255032635099f0ff72a66fc9","0","NULL","2","6","NULL","NULL","0"
"10000245389789388615","released","80099","54","2014-05-07 19:15:00","89","d5769ba2cb937bbbc3a25a0e023c00a2","0","NULL","2","6","NULL","NULL","0"
"10000252398600342096","released","80496","4","2014-09-12 07:30:00","18","a49022c6bc92004d12115669adf5a314","0","NULL","1","6","NULL","NULL","0"
"10000265775636181374","released on hold","80489","3","2014-05-29 09:30:00","84","6fc9de787a18b7dbc1dca8fde7cc8e4d","0","NULL","3","6","NULL","NULL","0"
"10000266555386184351","abandoned","","11","2014-08-18 09:45:00","0","aa0cce954a496e7fa65a92a19dbba1c8","0","NULL","1","7","NULL","NULL","1"
"10000270472964132476","released","80083","4","2014-06-12 10:45:00","50","20e4588a0fd06bb412fe732786c6c7df","0","NULL","2","6","NULL","NULL","0"
"10000280423798338494","released","80291","4","2014-08-23 12:45:00","56","b0f9277fb0c744c6ee0ecabc843f5dd0","0","NULL","1","6","NULL","NULL","0"
"10000298406190857891","released","80134","16","2014-09-23 09:15:00","55","da2327d4ecd4ce61eba6808fc01c4204","0","NULL","-1","6","NULL","NULL","0"
"10000307213630819822","released","80408","4","2014-05-25 02:45:00","88","6f0b147bd2fd2199a4b21c8714662c56","0","NULL","1","6","NULL","NULL","0"
"1000032534389397914","released","80436","48","2014-08-11 17:30:00","118","c9f4c24de77ad3b5ca80815949156b71","0","NULL","-1","6","NULL","NULL","0"
"10000326766155095366","released","80102","8","2014-06-19 09:15:00","41","0c4c583142a5a73db33c6dc13dd54676","0","NULL","3","6","NULL","NULL","0"
"100003280010346064","released","80498","23","2014-09-10 11:15:00","75","27c85214d9159e6de2d7f9c53a6c7d51","0","NULL","-1","6","NULL","NULL","0"
"10000344713331187038","released","80715","6","2014-09-30 16:00:00","205","998e57e5eaf6ade27e7aa64c47ced437","0","NULL","1","6","NULL","NULL","0"
"10000350998588039103","released","80542","4","2014-05-13 07:15:00","73","1f42d4bf9df86b5222db3ee71d580255","0","NULL","-1","6","NULL","NULL","0"
"10000353690137991699","released","80674","4","2014-08-10 13:30:00","122","fbd9214171a31d65bb021e09ca006d9c","0","NULL","1","6","NULL","NULL","0"
"10000356602944295140","abandoned","","30","2014-07-17 18:30:00","0","542351e0d09477b7e0843a3b2459a08f","0","NULL","1","6","NULL","NULL","1"
"10000356662760465874","released","80409","8","2014-05-28 08:15:00","200","1e6bb51fa2f556a34538e31f7dbc7bb0","0","NULL","2","6","NULL","NULL","0"
"10000368217237881170","released","80331","25","2014-06-25 13:15:00","76","e4e1a7f089ea7977f79132694180b529","0","NULL","1","6","NULL","NULL","0"
"10000377371497658005","released on hold","80496","49","2014-09-01 09:15:00","66","1f25f17435932ee3fd90527a4d150853","0","NULL","1","6","NULL","NULL","0"
"10000415888121700491","released","80124","5","2014-09-05 11:45:00","79","82525bf241ef57842c8830b39b6ed8e5","0","NULL","-1","6","NULL","NULL","0"
"10000420673148617819","released","80291","18","2014-05-13 10:45:00","73","8182bae4be668e68aa06b0cb8ef6a9a8","0","NULL","-1","6","NULL","NULL","0"
"10000426432747509737","transferred","80048","3","2014-06-26 10:45:00","196","c25c021645d6fba88589329d08b3681a","0","NULL","2","6","NULL","NULL","0"
"10000430115824913989","transferred","80406","6","2014-06-19 09:00:00","100","54aa6870e7e8d269458a09f9b737a7ba","0","NULL","-1","7","NULL","NULL","0"
"1000043461786895134","released","80020","4","2014-08-01 15:00:00","58","81d46421f2aa1eb55d3220c5c0921955","0","NULL","2","6","NULL","NULL","0"
"10000454071389401892","abandoned","80099","13","2014-06-10 19:30:00","0","03c3ced910b11f1bffa35569fde0cc3c","0","NULL","-1","6","NULL","NULL","1"
"10000456757535819653","abandoned","","10","2014-07-29 19:45:00","0","0c2c027d6100abafb5fd66287020f785","0","NULL","2","6","NULL","NULL","1"
"10000458404861845191","abandoned","","1","2014-05-07 07:30:00","0","a440391cbe495f7c66c2ca7f89a6e0cc","0","NULL","1","6","NULL","NULL","0"
"10000492166729105953","released on hold","80483","6","2014-09-12 21:15:00","51","06d1246a32dbafff021ff7e66db73c75","0","NULL","2","6","NULL","NULL","0"
"10000532181940842897","released","80528","7","2014-07-28 13:15:00","47","0116c4de6a3a4cfd854cb73edbb121f1","0","NULL","1","6","NULL","NULL","0"
"10000543813644124040","released","80082","6","2014-09-29 15:45:00","138","a4e63ef0489bca7394d0ac1e0fc6c0bd","0","NULL","-1","6","NULL","NULL","0"
"10000548542249988678","released","80479","33","2014-07-29 10:45:00","54","ca3feb263152a92d046e2d68966675dd","0","NULL","2","7","NULL","NULL","0"
"10000556621866248705","released","80017","7","2014-09-06 15:15:00","18","48ef8f29f6db4335357151ea240cde2e","0","NULL","1","6","NULL","NULL","0"
"10000612711433687277","released","80227","12","2014-07-08 12:45:00","122","e1e3e5afb781255447cf3485c83bf84a","0","NULL","2","6","NULL","NULL","0"
"10000613912399574374","released on hold","80595","3","2014-05-26 09:00:00","125","16e7b6fd2522b58875ab18f186462b26","0","NULL","-1","6","NULL","NULL","0"
"10000624852666002092","abandoned","80013","5","2014-09-09 13:45:00","0","c0ed0d5e617f819221095a686b9cc6ca","0","NULL","-1","7","NULL","NULL","1"
"10000631366816116524","released","80167","3","2014-05-09 12:15:00","93","ca2adb8185754e3dbc9671e3905cf006","0","NULL","1","6","NULL","NULL","0"
"10000631450471417044","released","80151","5","2014-07-17 23:00:00","77","90a8cc3a7ba1afb5f9761af4b000da3f","0","NULL","1","6","NULL","NULL","0"
