# id> internal primary key for ope_calls structure. Each represents one call
# phone_number> hashed incoming phone number
# operator> person who picked the call
# line> type of incoming line (i.e. O2 mobile, T-mobile prepaid etc.)
# answered_at> time of incoming call start (when operator starts to talk)
# droped_at> time of call end
# ended_at> time when operator finished the call (after call tasks are done)
# created_ad, updated_at> timestamp of database insert
# line_id> id of service that customer called at

"id","phone_number","operator","line","answered_at","droped_at","ended_at","created_at","updated_at","line_id"
"1","3cc2dbff1f07b6ba2e2cde7e6fa181e8","80097","line 1","2014-03-14 18:27:22","NULL","NULL","2014-03-14 18:27:20","2014-03-14 18:27:20","NULL"
"3","f0fca831bea3de3426f392fcebc4fdd9","80447","line 2","2014-03-14 18:27:43","NULL","NULL","2014-03-14 18:27:41","2014-03-14 18:27:41","NULL"
"5","86a1815f3c97f3d69b827aec9ad3f200","80104","line 3","2014-03-14 18:27:53","NULL","NULL","2014-03-14 18:27:51","2014-03-14 18:27:51","NULL"
"7","219f9a38ab3c331d9bf05211c6cb0b67","80527","line 1","2014-03-14 18:28:00","NULL","NULL","2014-03-14 18:27:54","2014-03-14 18:27:54","NULL"
"9","29383f487900ea838522804b719b6550","80122","line 1","2014-03-14 18:28:01","NULL","NULL","2014-03-14 18:27:59","2014-03-14 18:27:59","NULL"
"11","c2ff6997ea999bdd227bada32d3755e1","80332","line 1","2014-03-14 18:28:16","NULL","NULL","2014-03-14 18:28:14","2014-03-14 18:28:14","NULL"
"13","1b3a890d6b19a0a435fa825fbd5eefcc","80039","line 1","2014-03-14 18:28:30","NULL","NULL","2014-03-14 18:28:28","2014-03-14 18:28:28","NULL"
"15","0aa3199b23110dba9e05cd45906d68fa","80150","line 2","2014-03-14 18:29:00","NULL","NULL","2014-03-14 18:28:58","2014-03-14 18:28:58","NULL"
"17","8dd35a6a502a7fb92384cc3de9b39834","80277","line 3","2014-03-14 18:29:07","NULL","NULL","2014-03-14 18:29:04","2014-03-14 18:29:04","NULL"
"19","c5e025f3104f6ba37b49be94a728b521","80274","line 4","2014-03-14 18:29:08","NULL","NULL","2014-03-14 18:29:06","2014-03-14 18:29:06","NULL"
"21","743178ef4fed94ad2f80c4189541e2e1","80425","line 5","2014-03-14 18:29:33","NULL","NULL","2014-03-14 18:29:30","2014-03-14 18:29:30","NULL"
"23","a2cb99a28e0f659ed7966cf79561bd64","80099","line 4","2014-03-14 18:29:51","NULL","NULL","2014-03-14 18:29:49","2014-03-14 18:29:49","NULL"
"25","11372071a4ac4b5d667ce1ce986d0989","80117","line 4","2014-03-14 18:29:55","NULL","NULL","2014-03-14 18:29:53","2014-03-14 18:29:53","NULL"
"27","439dba29e408689806715b96755ea8b8","80509","line 6","2014-03-14 18:30:01","NULL","NULL","2014-03-14 18:29:58","2014-03-14 18:29:58","NULL"
"29","12b7469989cf1cee5419c5fb5a3c081c","80122","line 2","2014-03-14 18:30:06","NULL","NULL","2014-03-14 18:30:04","2014-03-14 18:30:04","NULL"
"31","ebb74afe8577d5d05e7a6e3e73d85468","80104","line 1","2014-03-14 18:30:11","NULL","NULL","2014-03-14 18:30:12","2014-03-14 18:30:12","NULL"
"33","84e2bd4cc48c6f2377edc0832ac713e4","80506","line 2","2014-03-14 18:30:21","NULL","NULL","2014-03-14 18:30:19","2014-03-14 18:30:19","NULL"
"35","f616a5ad3698b9a0223f282d13b333a6","80527","line 2","2014-03-14 18:30:27","NULL","NULL","2014-03-14 18:30:21","2014-03-14 18:30:21","NULL"
"37","708fb17664d12dbd422b8c2d228f25d2","80134","line 4","2014-03-14 18:30:29","NULL","NULL","2014-03-14 18:30:28","2014-03-14 18:30:28","NULL"
"39","2934761e375364405a14e589786d78b6","80274","line 2","2014-03-14 18:30:37","NULL","NULL","2014-03-14 18:30:35","2014-03-14 18:30:35","NULL"
"41","b89d5c07d48f31c3935d2a139dde64f8","80117","line 1","2014-03-14 18:30:48","NULL","NULL","2014-03-14 18:30:46","2014-03-14 18:30:46","NULL"
"43","1f84654b5d916a84c7e1bd5034c0499f","80332","line 1","2014-03-14 18:30:52","NULL","NULL","2014-03-14 18:30:50","2014-03-14 18:30:50","NULL"
"45","d25ab19367ce34ebb1081377f5a67e16","80277","line 4","2014-03-14 18:30:54","NULL","NULL","2014-03-14 18:30:52","2014-03-14 18:30:52","NULL"
"47","324b40163ddc565055de1d8384276760","80097","line 1","2014-03-14 18:30:54","NULL","NULL","2014-03-14 18:30:52","2014-03-14 18:30:52","NULL"
"49","c3adf63f9ee46ac8488f3c3beca63f7f","80150","line 2","2014-03-14 18:30:56","NULL","NULL","2014-03-14 18:30:54","2014-03-14 18:30:54","NULL"
"51","8e89f30577fbd9d3a9755896c54652c7","80240","line 5","2014-03-14 18:31:07","NULL","NULL","2014-03-14 18:31:04","2014-03-14 18:31:04","NULL"
"53","554998f75eb0d3c5f2d54b5de85d2a41","80506","line 1","2014-03-14 18:31:15","NULL","NULL","2014-03-14 18:31:13","2014-03-14 18:31:13","NULL"
"55","c39e4bbf80f2a24f45d034c8f7a3f7a5","80097","line 2","2014-03-14 18:31:20","NULL","NULL","2014-03-14 18:31:18","2014-03-14 18:31:18","NULL"
"57","29a9c9e20eb4c8ab2948c5c25a61b400","80099","line 1","2014-03-14 18:31:23","NULL","NULL","2014-03-14 18:31:21","2014-03-14 18:31:21","NULL"
"59","f93f037dc031a5c90ebcece8eae7099a","80104","line 4","2014-03-14 18:31:29","NULL","NULL","2014-03-14 18:31:27","2014-03-14 18:31:27","NULL"
"61","41260fa30b06e4be80908701e647390f","80527","line 1","2014-03-14 18:31:43","NULL","NULL","2014-03-14 18:31:37","2014-03-14 18:31:37","NULL"
"63","e003497e757e3614708187627a14f157","80332","line 2","2014-03-14 18:31:49","NULL","NULL","2014-03-14 18:31:47","2014-03-14 18:31:47","NULL"
"65","a7ab749ab53b978970d4cb01986b481a","80150","line 3","2014-03-14 18:31:55","NULL","NULL","2014-03-14 18:31:53","2014-03-14 18:31:53","NULL"
"67","335c707522d2df7f43a807e9fc5eb094","80239","line 7","2014-03-14 18:31:58","NULL","NULL","2014-03-14 18:31:56","2014-03-14 18:31:56","NULL"
"69","ddb8c3426da8e14e5f061f537f145596","80099","line 1","2014-03-14 18:32:00","NULL","NULL","2014-03-14 18:31:57","2014-03-14 18:31:57","NULL"
"71","bc6ed0f1945c9fcbd74980e0fd685b8e","80134","line 2","2014-03-14 18:32:02","NULL","NULL","2014-03-14 18:32:00","2014-03-14 18:32:00","NULL"
"73","ca906201088857eb47a20eec432b1e32","80117","line 2","2014-03-14 18:32:07","NULL","NULL","2014-03-14 18:32:05","2014-03-14 18:32:05","NULL"
"75","cc67d98b36b33e869f884abedb1602e5","80097","line 6","2014-03-14 18:32:08","NULL","NULL","2014-03-14 18:32:06","2014-03-14 18:32:06","NULL"
"77","39e389d2866abc694a906420b6ceb3a9","80122","line 1","2014-03-14 18:32:17","NULL","NULL","2014-03-14 18:32:15","2014-03-14 18:32:15","NULL"
"79","42676a331a03af65cbc1b2aebd972391","80277","line 1","2014-03-14 18:32:18","NULL","NULL","2014-03-14 18:32:15","2014-03-14 18:32:15","NULL"
"81","d509239e31c6250622733697e4646865","80332","line 6","2014-03-14 18:32:22","NULL","NULL","2014-03-14 18:32:20","2014-03-14 18:32:20","NULL"
"83","527f49da0e585f241a8580bdb8176800","80039","line 2","2014-03-14 18:32:34","NULL","NULL","2014-03-14 18:32:33","2014-03-14 18:32:33","NULL"
"85","f9cdd894f0c0c9765f6d52ac58cb9ad5","80150","line 1","2014-03-14 18:32:36","NULL","NULL","2014-03-14 18:32:34","2014-03-14 18:32:34","NULL"
"87","947029b14af40f2de29a60652d9a9c7a","80447","line 4","2014-03-14 18:32:53","NULL","NULL","2014-03-14 18:32:51","2014-03-14 18:32:51","NULL"
"89","12b7469989cf1cee5419c5fb5a3c081c","80277","line 2","2014-03-14 18:33:06","NULL","NULL","2014-03-14 18:33:03","2014-03-14 18:33:03","NULL"
"91","8c42fc48bb5f87f443333a71797a8167","80425","line 4","2014-03-14 18:33:12","NULL","NULL","2014-03-14 18:33:10","2014-03-14 18:33:10","NULL"
"93","ab8ea69317b70784eaa368555ae8083e","80150","line 4","2014-03-14 18:33:22","NULL","NULL","2014-03-14 18:33:20","2014-03-14 18:33:20","NULL"
"95","a7ab749ab53b978970d4cb01986b481a","80527","line 3","2014-03-14 18:33:27","NULL","NULL","2014-03-14 18:33:22","2014-03-14 18:33:22","NULL"
"97","78fd99b482a855445eb53c4fb49a678f","80134","line 2","2014-03-14 18:33:28","NULL","NULL","2014-03-14 18:33:26","2014-03-14 18:33:26","NULL"
