# search log
# id> internal id
# created_at> database insert timestamp
# params> jSON of attributes
	what> "what" keyword
	where> "where" keyword
	from> pagination of results (0 means first page)
	size> number of results per page
	source_facility> originator of request, always "op"
	record_ids> if there are results from catalogue (not only phonebook), here are returned subject IDs
	uir_type, uir_id, uir_name> if "where" field is recognized as an address, here are database IDs of that address

id;created_at;params
336956106;2014-10-01 00:02:05.0;{"what":"taxi","where":"Olomouc, okres Olomouc","from":"0","size":"3","source_facility":"op","record_ids":[59451,67475,761979],"uir_type":"city","uir_id":500496,"uir_name":"Olomouc"}
336956137;2014-10-01 00:02:06.0;{"what":"taxi","where":"Olomouc, okres Olomouc","from":"0","size":"3","source_facility":"op"}
336956338;2014-10-01 00:02:32.0;{"what":"taxi","where":"Praha","from":"0","size":"3","source_facility":"op"}
336956303;2014-10-01 00:02:34.0;{"what":"taxi","where":"Praha","from":"0","size":"3","source_facility":"op","record_ids":[762071,66181,58685],"uir_type":"city","uir_id":554782,"uir_name":"Praha"}
336956479;2014-10-01 00:05:56.0;{"what":"rozvoz pizza","where":"České Budějovice, okres České Budějovice","from":"0","size":"3","source_facility":"op","record_ids":[761737,84511,63282],"uir_type":"city","uir_id":544256,"uir_name":"České Budějovice"}
336956600;2014-10-01 00:05:57.0;{"what":"rozvoz pizza","where":"České Budějovice, okres České Budějovice","from":"0","size":"3","source_facility":"op"}
336956501;2014-10-01 00:05:58.0;{"what":"erotický privát","where":"Praha - Klánovice","from":"0","size":"3","source_facility":"op","record_ids":[64707,86112,184648],"uir_type":"city_part","uir_id":65447,"uir_name":"Klánovice"}
336956426;2014-10-01 00:05:59.0;{"what":"erotický privát","where":"Praha - Klánovice","from":"0","size":"3","source_facility":"op"}
336956510;2014-10-01 00:06:26.0;{"what":"rozvoz pizza","where":"České Budějovice, okres České Budějovice","from":"3","size":"5","source_facility":"op","record_ids":[],"uir_type":"city","uir_id":544256,"uir_name":"České Budějovice"}
336956717;2014-10-01 00:07:06.0;{"what":"odtahová služba Klubal","where":"","from":"0","size":"3","source_facility":"op","record_ids":[60759]}
336956796;2014-10-01 00:07:07.0;{"what":"odtahová služba Klubal","where":"","from":"0","size":"3","source_facility":"op"}
336956787;2014-10-01 00:07:43.0;{"what":"taxi","where":"teplice","from":"0","size":"3","source_facility":"op","record_ids":[81547,761811,762851],"uir_type":"city","uir_id":567442,"uir_name":"Teplice"}
336956711;2014-10-01 00:07:44.0;{"what":"taxi","where":"teplice","from":"0","size":"3","source_facility":"op"}
336956648;2014-10-01 00:07:44.0;{"what":"taxik","where":"Brno - Židenice","from":"0","size":"3","source_facility":"op"}
336956799;2014-10-01 00:07:45.0;{"what":"taxik","where":"Brno - Židenice","from":"0","size":"3","source_facility":"op","record_ids":[80509,86259],"uir_type":"urban_district","uir_id":551058,"uir_name":"Brno-Židenice"}
336956685;2014-10-01 00:07:48.0;{"what":"taxi","where":"Teplice, okres Teplice","from":"0","size":"3","source_facility":"op"}
336956838;2014-10-01 00:07:49.0;{"what":"taxi","where":"Teplice, okres Teplice","from":"0","size":"3","source_facility":"op","record_ids":[81547,761811,762851],"uir_type":"city","uir_id":567442,"uir_name":"Teplice"}
336956686;2014-10-01 00:08:01.0;{"what":"linka důvěry","where":"","from":"0","size":"3","source_facility":"op"}
336956940;2014-10-01 00:08:02.0;{"what":"linka důvěry","where":"","from":"0","size":"3","source_facility":"op","record_ids":[81188,75567,53605]}
336956672;2014-10-01 00:08:05.0;{"what":"linka důvěry zdarma","where":"","from":"0","size":"3","source_facility":"op"}
336956655;2014-10-01 00:08:05.0;{"what":"linka důvěry zdarma","where":"","from":"0","size":"3","source_facility":"op","record_ids":[]}
336956755;2014-10-01 00:09:10.0;{"what":"restaurace černý orel","where":"Křinec","from":"0","size":"3","source_facility":"op","record_ids":[],"uir_type":"city","uir_id":537411,"uir_name":"Křinec"}
336956941;2014-10-01 00:09:11.0;{"what":"restaurace černý orel","where":"Křinec","from":"0","size":"3","source_facility":"op"}
336956888;2014-10-01 00:10:20.0;{"what":"taxi","where":"ostrava","from":"0","size":"3","source_facility":"op","record_ids":[684257,60027,762781],"uir_type":"city","uir_id":554821,"uir_name":"Ostrava"}
336956873;2014-10-01 00:10:21.0;{"what":"taxi","where":"ostrava","from":"0","size":"3","source_facility":"op"}
336956964;2014-10-01 00:10:47.0;{"what":"sex po telefonu","where":"","from":"0","size":"3","source_facility":"op"}
336956930;2014-10-01 00:10:48.0;{"what":"sex po telefonu","where":"","from":"0","size":"3","source_facility":"op","record_ids":[684135,66104,85179]}
336956994;2014-10-01 00:12:36.0;{"what":"nemocnice","where":"plzeň lochotín","from":"0","size":"3","source_facility":"op","record_ids":[137001,640627],"uir_type":"street","uir_id":395005,"uir_name":"Lochotínská"}
336957179;2014-10-01 00:12:37.0;{"what":"nemocnice","where":"plzeň lochotín","from":"0","size":"3","source_facility":"op"}
336957027;2014-10-01 00:12:55.0;{"what":"nemocnice","where":"plzeň chotíkovská","from":"0","size":"3","source_facility":"op","record_ids":[640627,137001],"uir_type":"street","uir_id":749184,"uir_name":"Chotíkovská"}
336957180;2014-10-01 00:12:56.0;{"what":"nemocnice","where":"plzeň chotíkovská","from":"0","size":"3","source_facility":"op"}
336957119;2014-10-01 00:13:04.0;{"what":"modrý anděl","where":"Praha, Hlavní město Praha","from":"0","size":"3","source_facility":"op","record_ids":[66279,53577],"uir_type":"city","uir_id":554782,"uir_name":"Praha"}
336957102;2014-10-01 00:13:04.0;{"what":"modrý anděl","where":"Praha, Hlavní město Praha","from":"0","size":"3","source_facility":"op"}
336957205;2014-10-01 00:13:05.0;{"what":"taxik","where":"Hodonín, okres Hodonín","from":"0","size":"3","source_facility":"op"}
336957087;2014-10-01 00:13:06.0;{"what":"taxik","where":"Hodonín, okres Hodonín","from":"0","size":"3","source_facility":"op","record_ids":[762203,62360,762247],"uir_type":"city","uir_id":586021,"uir_name":"Hodonín"}
336957061;2014-10-01 00:13:19.0;{"what":"nonstop oblečení","where":"Praha","from":"0","size":"3","source_facility":"op"}
336957105;2014-10-01 00:13:21.0;{"what":"nonstop oblečení","where":"Praha","from":"0","size":"3","source_facility":"op","record_ids":[49687],"uir_type":"city","uir_id":554782,"uir_name":"Praha"}
336957034;2014-10-01 00:13:34.0;{"what":"tesco nonstop","where":"Praha","from":"0","size":"3","source_facility":"op"}
