# id> internal counter
# ope_call_id> internal foreign key for ope_calls structure. Each represents one call. Relation 1:1 to ope_calls
# ope_wup_question_id> id of predefined call type - what is customer asking for (no custom possible)
# ope_wup_answer_id> id of predefined answeres to that question (no custom possible)
# created_ad, updated_at> timestamp of database insert

"id","ope_call_id","ope_wup_question_id","ope_wup_answer_id","created_at","updated_at"
"15","184427","3","3","2014-03-23 19:52:23","2014-03-23 19:52:23"
"25","184465","7","9","2014-03-23 19:53:44","2014-03-23 19:53:44"
"27","184481","7","9","2014-03-23 19:55:39","2014-03-23 19:55:39"
"31","184477","3","3","2014-03-23 19:56:07","2014-03-23 19:56:07"
"33","184497","7","9","2014-03-23 19:57:15","2014-03-23 19:57:15"
"35","184493","5","3","2014-03-23 19:57:45","2014-03-23 19:57:45"
"37","184509","5","7","2014-03-23 19:59:50","2014-03-23 19:59:50"
"39","184533","5","7","2014-03-23 20:02:25","2014-03-23 20:02:25"
"41","184551","5","7","2014-03-23 20:06:56","2014-03-23 20:06:56"
"43","184601","3","7","2014-03-23 20:09:01","2014-03-23 20:09:01"
"47","184639","5","3","2014-03-23 20:14:25","2014-03-23 20:14:25"
"49","184667","7","9","2014-03-23 20:18:15","2014-03-23 20:18:15"
"51","184647","9","11","2014-03-23 20:19:32","2014-03-23 20:19:32"
"53","184705","11","17","2014-03-23 20:22:35","2014-03-23 20:22:35"
"55","184695","1","1","2014-03-23 20:23:29","2014-03-23 20:23:29"
"57","184723","7","9","2014-03-23 20:24:24","2014-03-23 20:24:24"
"59","184717","3","7","2014-03-23 20:24:38","2014-03-23 20:24:38"
"61","184739","5","7","2014-03-23 20:26:53","2014-03-23 20:26:53"
"65","184763","1","1","2014-03-23 20:34:02","2014-03-23 20:34:02"
"67","184763","5","7","2014-03-23 20:34:11","2014-03-23 20:34:11"
"71","184779","5","3","2014-03-23 20:36:29","2014-03-23 20:36:29"
"73","184781","11","13","2014-03-23 20:37:21","2014-03-23 20:37:21"
