# call_id> Primární klíč. Pokud je 40 znaků dlouhý, hovor nemá v ostatních tabulkách vazby. Pokud je 20 znaků dlouhý, existují vazební data v ostatních out.c tabulkách
# length> Délka hovoru v sekundách
# from> hash volajícího čísla
# to> pokud je hodnota 1xxxx, jedná se o příchozí hovor a ID znamená číslo linky. Pokud je hodnota 8xxxx, je to ID konkrétního operátora (zvedače).
# international> zda jde o mezinárodní volání
# time_block> časový blok, kdy došlo k uskutečnění hovoru
# service_id> id služby na kterou zákazník volá
# length_9>
# length_C>
# length_O>
# length_7>
# operator> telefonní operátor (O2, T-mobile...)
# ope_agent> z ope_calls
# ope_line> z ope_calls
# wup_question_id> z ope_wup_logs
# wup_answer_id> z ope_wup_logs
# cancelled>
# ivr>
# time_segment_id>
# length_B>
# transferred_external> zda došlo k přepojení hovoru

"call_id","length","from","to","international","time_block","service_id","length_9","length_C","length_O","length_7","operator","ope_agent","ope_line","wup_question_id","wup_answer_id","cancelled","ivr","time_segment_id","length_B","transferred_external"
"1000000003774585210411141736985591382322","15","84578d347cd0eea7c044e40d9c517a7d","10602","0","2014-05-11 21:00:00","10","15","NULL","NULL","NULL","-1","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","0"
"10000001402274376349752301359373558911","53","fe40eb4e3c989fd8dd9916769264456b","80062","0","2013-04-17 20:00:00","NULL","53","NULL","NULL","NULL","2","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","0"
"1000000307992814425815163416643855121018","99","988b3074985a6274a729ae098cc9acd2","80551","0","2013-06-23 20:00:00","NULL","99","NULL","NULL","NULL","3","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","0"
"10000003119589387914572374957768739691","132","87a3673a38034cb4090c9c402b73d9c5","11886","0","2013-11-15 17:45:00","6","132","NULL","NULL","NULL","1","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","0"
"100000035769231313509644573093631513727","32","93108854d179f5dbc00b8c20e243d231","80068","0","2012-10-12 10:30:00","NULL","32","NULL","NULL","NULL","-1","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","0"
"1000000364484614412318160370070912421461","100","a2003e662126aa14a56bfcd224097bbf","11886","0","2014-02-03 11:45:00","6","100","NULL","NULL","NULL","1","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","0"
"100000047564598546733131261912559737454","65","9ca2caf4106c946d8a2eaacd0bd1cd1e","80014","0","2012-11-24 12:00:00","NULL","65","NULL","NULL","NULL","-1","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","0"
"00001119931410253284","74","e8c4dc44f300daa3f61056ee288e7cc5","11885","0","2014-09-09 11:00:00","6","74","63","NULL","63","-1","NULL","NULL","NULL","NULL","0","0","NULL","NULL","0"
"100000074281767437318529521252304896108","20","7d4c14bf715bf686e9ec89cf5a74c685","11885","0","2014-02-15 15:00:00","6","20","NULL","NULL","NULL","2","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","0"
"100000133165964741977337006648290234126","32","911bf8a4f27c90f213766c13ba9a7f61","80052","0","2013-03-29 02:15:00","NULL","32","NULL","NULL","NULL","1","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","0"
"10000015179516373934693364607244916960","135","77052a433b5580aba5885f10618c350f","80032","0","2012-09-24 13:30:00","NULL","135","NULL","NULL","NULL","-1","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","0"
